n=512,m=128,k=64,r=0.4,block_num=10,hop=1
partitioning_time,sampling_time,feature_update_time,unique_neighbor_search_time,common_neighbor_search_time,gather_time,scatter_time
0.195584,0.03232,4.41242,0.028672,0.08192,0.035296,0.021504
0.015296,0.023936,0.5928,0.01536,0.056256,0.016928,0.008192
0.013312,0.006912,0.19968,0.01632,0.054272,0.016864,0.00912
0.013312,0.006592,0.196608,0.016384,0.055296,0.01696,0.008192
0.014336,0.007488,0.395232,0.026624,0.057312,0.017216,0.007168
0.01424,0.006976,0.196608,0.01536,0.05632,0.017696,0.007168
0.013312,0.006752,0.198656,0.01536,0.055296,0.016896,0.00816
0.014304,0.007552,0.39424,0.016384,0.055296,0.01712,0.007168
0.014336,0.02288,0.221152,0.016384,0.055296,0.018848,0.008192
0.014336,0.0232,0.19456,0.017408,0.055296,0.015712,0.008192
0.01424,0.006784,0.197632,0.01536,0.055296,0.017376,0.008192
0.013312,0.006464,0.313344,0.01536,0.055296,0.017376,0.007168
0.013312,0.00544,0.198592,0.016384,0.055296,0.017568,0.008192
0.014336,0.006368,0.197632,0.01536,0.056288,0.017632,0.008192
0.013344,0.006464,0.382976,0.016384,0.055296,0.016544,0.008192
0.013312,0.006272,0.200672,0.01536,0.056288,0.016384,0.0072
0.013312,0.006688,0.197536,0.01536,0.055296,0.017408,0.008192
0.013312,0.0064,0.416768,0.01536,0.05632,0.016864,0.007168
0.013312,0.006592,0.198656,0.016384,0.055296,0.017248,0.007168
0.013312,0.007424,0.19856,0.016288,0.055296,0.017152,0.008128
0.014336,0.006688,0.396256,0.01536,0.05632,0.015616,0.007168
0.014304,0.006464,0.197664,0.016384,0.055296,0.016992,0.008192
0.014304,0.007072,0.199648,0.01536,0.055296,0.016864,0.006144
0.013376,0.02288,0.391168,0.016384,0.056288,0.018048,0.009216
0.013312,0.00704,0.2048,0.01536,0.05632,0.017088,0.00816
0.013312,0.007072,0.197536,0.01536,0.055264,0.017504,0.007168
0.014336,0.007136,0.202752,0.016384,0.05632,0.017344,0.007168
0.014336,0.006592,0.31344,0.01536,0.055296,0.018048,0.007168
0.014336,0.0072,0.200672,0.016384,0.055296,0.016768,0.009216
0.014336,0.006304,0.2048,0.01536,0.056224,0.016736,0.008192
0.013312,0.007328,0.392192,0.016384,0.056288,0.016672,0.008192
0.014272,0.006944,0.195584,0.016384,0.05536,0.016256,0.006144
0.014336,0.007072,0.227328,0.01536,0.05632,0.028256,0.007168
0.014272,0.00672,0.382016,0.016384,0.057344,0.016416,0.007168
0.014336,0.00704,0.194592,0.016384,0.05632,0.018048,0.008192
0.014272,0.00688,0.19456,0.016384,0.055296,0.016384,0.007168
0.013312,0.022688,0.423008,0.016384,0.05632,0.01696,0.008192
0.014336,0.006432,0.205824,0.016384,0.05632,0.016736,0.008192
0.013312,0.007072,0.20992,0.016384,0.055296,0.016288,0.008192
0.013312,0.006944,0.417792,0.016384,0.05536,0.016736,0.008192
0.01536,0.00576,0.214016,0.016384,0.056288,0.01808,0.0072
0.014336,0.006656,0.223232,0.016384,0.055328,0.017088,0.007168
0.013312,0.007072,0.207872,0.01536,0.055296,0.0184,0.007168
0.015296,0.007392,0.328704,0.016384,0.05632,0.017632,0.008192
0.013312,0.006144,0.206912,0.016384,0.055296,0.017568,0.008192
0.014336,0.006752,0.211968,0.016384,0.055296,0.0168,0.008192
0.014336,0.0072,0.393216,0.026624,0.05632,0.016704,0.008192
0.014336,0.006816,0.215008,0.01536,0.05632,0.017216,0.007168
0.01536,0.007232,0.211968,0.01536,0.05632,0.016448,0.009216

Average (excluding first 2 runs):
0.0139561,0.00816681,0.256671,0.016446,0.0557719,0.0173311,0.00779642
